# Anki 导入用（制表符分隔）
# 日语\t读音\t中文\t词性\t例句\t例句中文\t分类
# === N5 核心词 ===
覚悟	かくご	觉悟	名言	覚悟とは…！	觉悟就是…！	ジョジョ

# === 日常交流 ===
お願いします	おねがいします	拜托了	依頼	コーヒーをお願いします	请给我咖啡	日常
いただきます	いただきます	我开动了	食事	いただきます！	我开动了！	日常
ごちそうさま	ごちそうさま	多谢款待	食事	ごちそうさまでした	多谢款待	日常
お疲れ様	おつかれさま	辛苦了	挨拶	お疲れ様です	辛苦了	日常
いらっしゃいませ	いらっしゃいませ	欢迎光临	接客	いらっしゃいませ！	欢迎光临！	日常
申し訳ありません	もうしわけありません	非常抱歉	謝罪	申し訳ありませんでした	非常抱歉	日常
お久しぶり	おひさしぶり	好久不见	挨拶	お久しぶりです、元気でしたか？	好久不见，你还好吗？	日常
気をつけて	きをつけて	小心点	気遣い	気をつけて帰ってください	路上小心	日常
楽しみにしてる	たのしみにしてる	很期待	感情	来週の旅行、楽しみにしてる	很期待下周的旅行	日常
よろしくお願いします	よろしくお願いします	请多关照	依頼	これからよろしくお願いします	今后请多关照	日常

# === N5-N4 常用文法 ===
〜ます	〜ます	敬体动词	文法	食べます、行きます	（动词敬体）	文法N5
〜ました	〜ました	过去式	文法	昨日食べました	昨天吃了	文法N5
〜ません	〜ません	否定	文法	食べません	不吃	文法N5
〜たい	〜たい	想做某事	文法	日本に行きたい	想去日本	文法N5
〜てください	〜てください	请做某事	文法	教えてください	请教教我	文法N5
〜てもいい	〜てもいい	可以做某事	文法	ここに座ってもいいですか？	可以坐这里吗？	文法N5
〜てはいけない	〜てはいけない	不可以	文法	ここでタバコを吸ってはいけません	这里不可以抽烟	文法N5
〜なければならない	〜なければならない	必须做	文法	宿題をしなければならない	必须做作业	文法N4
〜たほうがいい	〜たほうがいい	最好做某事	文法	病院に行ったほうがいい	最好去医院	文法N4
〜くれる	〜くれる	给我（做）	文法	友達が本をくれた	朋友给了我书	文法N4
〜もらう	〜もらう	得到	文法	先生に教えてもらった	得到了老师的教导	文法N4
〜そうだ	〜そうだ	好像/据说	文法	美味しそう！	看起来很好吃！	文法N4
〜すぎる	〜すぎる	太过于	文法	食べ過ぎた	吃太多了	文法N4
〜やすい	〜やすい	容易做	文法	この本は読みやすい	这本书容易读	文法N4
〜にくい	〜にくい	难做	文法	この漢字は書きにくい	这个汉字难写	文法N4
